relative_time,MagneticRotationSensor
0,330.57410465908004
43,330.67881004325733
110,330.66675976487744
176,330.66777719753554
243,330.5690395605382
310,330.49983445127293
376,330.72328391327943
443,330.67302099408903
510,330.7284555326743
576,330.5422715677546
643,330.67725400502513
710,330.72672819579975
776,330.82586287436686
843,330.7672770465622
910,330.39631773548456
976,330.449675105948
1043,330.711746304787
1110,330.6123061790329
1176,330.6019148636718
1243,330.32417724073156
1310,330.6004554215374
1376,330.6104572462827
1443,330.6030586883369
1510,330.55923760123676
1576,330.2391802436176
1643,330.73011092138887
1710,330.6263471431194
1776,330.52817874956685
1843,330.5510994337257
1910,330.6922450370097
1976,330.76347753014164
2043,330.30215625720416
2110,330.4478159540607
2176,330.5353014126885
2243,330.77068725240434
2310,330.51509624112003
2376,330.52991193508825
2443,330.689400253037
2510,330.5075651417017
2576,330.68728755332535
2643,330.48830161644577
2710,330.69211397202645
2776,330.51871877243957
2843,330.4488781882636
2910,330.6974360759856
2976,330.62511809741227
3043,330.6607804049543
3110,330.4985629252226
3176,330.42054740345685
3243,330.58670515522005
3310,330.4765916404871
3376,330.64109573070033
3443,330.3727605307514
3510,330.745897446867
3576,330.7293803211778
3643,330.5830726498926
3710,330.71815085522456
3776,330.652010250049
3843,330.45249453454653
3910,330.6081346369711
3976,330.54956220005647
4043,330.59658746071676
4110,330.7230163057032
4176,330.679868219461
4243,330.48981530443604
4309,330.5887257265264
4376,330.66711636028197
4443,330.60165942877296
4510,330.66235557083826
4576,330.7918287553857
4643,330.6262726309133
4709,330.73240446837815
4776,330.62766848917397
4843,330.63313027774876
4910,330.6560086918849
4983,330.5751808025705
5043,330.5628583751829
5110,330.77579298310394
5176,330.6146018308342
5243,330.70358359033526
5310,330.5906418308562
5376,330.70089290134854
5442,331.0152349966843
5510,330.6943588935002
