relative_time,MagneticRotationSensor
0,2798.1368825400427
60,2797.587046379848
127,2797.802964323185
194,2797.5048036350804
261,2797.580483276458
327,2798.2229295723937
393,2797.9684475445074
461,2797.762282359723
527,2797.921349782653
593,2797.6833770074113
661,2797.9908698326003
727,2797.62730102263
793,2797.8922876825177
859,2797.6267424929247
927,2798.0493629447888
993,2798.1025196878154
1061,2797.745970579124
1127,2797.6326211671208
1193,2797.966080087494
1262,2797.570832260033
1327,2797.9945430148427
1393,2797.322664730003
1462,2798.2237206408686
1527,2798.152974264149
1593,2797.9953312134444
1662,2798.075647021494
1727,2797.8626461291137
1793,2797.9885786325067
1861,2797.7575909722136
1927,2797.3513389408795
1994,2797.4490694173574
2061,2797.4156098440703
2126,2797.5672980357176
2193,2797.812902029457
2259,2797.744187165289
2327,2797.9147752271883
2393,2797.617498836591
2459,2798.098550104163
2527,2797.2428443365857
2593,2797.7666925520734
2662,2797.7401950416183
2727,2797.6399653903622
2794,2797.791600720626
2861,2797.670422015205
2927,2798.241128124969
2993,2797.2616110728522
3061,2798.2795900203714
3127,2797.6520044686004
3193,2798.154852056225
3261,2797.8984634204035
3327,2798.164377488499
3393,2797.238875779214
3461,2797.9462888054823
3527,2797.7469154718237
3593,2797.737968026849
3661,2797.5868678903093
3727,2797.693707948513
3794,2797.433523988502
3859,2797.7870392339655
3927,2797.2313085384053
3993,2797.57095992796
4061,2797.2672190924627
4127,2797.7401814594214
4193,2797.6145782075705
4261,2797.347127972011
4326,2797.888563517124
4393,2797.251423492923
4461,2797.691353433422
4527,2797.55356123276
4593,2797.7618685306056
4659,2798.2075226264765
4727,2797.8182713599545
4793,2797.376402251512
4861,2797.3652964491534
4927,2797.346486001783
4993,2797.1640002039844
5061,2797.5146049556674
5127,2797.5999414768917
5193,2797.4610558521103
5261,2797.040278377008
5326,2797.1803485938535
5393,2797.526374211679
5462,2797.3516784874864
5527,2796.8846854444714
5594,2797.820420313755
