relative_time,MagneticRotationSensor
0,330.70606869258455
59,330.669239940703
126,330.8319069111202
193,330.5162105922093
259,330.5154967462735
326,330.74767357243303
393,330.5580075638484
459,330.55614109756635
526,330.7842110263496
593,330.49690191970404
659,330.74760478305615
726,330.76169763720173
792,330.5532372351253
859,330.77314386056713
926,330.7812302202533
992,330.7412753027721
1059,330.57218555633796
1126,330.4407925491654
1193,330.6503603016425
1259,330.59785897992265
1326,330.47449738592815
1393,330.70364410906785
1459,330.52063961878093
1526,330.5913525088231
1593,330.6545568821873
1659,330.7432907606507
1726,330.5592658378113
1793,330.6630704999257
1859,330.33040577245794
1926,330.7327995818374
1993,330.5517706870611
2059,330.7424371763845
2126,330.54001003068794
2193,330.72757645978203
2259,330.65956236682405
2326,330.47675698708935
2393,330.7892496334927
2459,330.62970821466763
2526,330.82364530672345
2593,330.64212284581384
2659,330.55161699568043
2725,330.9957768624507
2793,330.4884242584531
2859,330.7769261018895
2926,330.60196856197905
2992,330.5489002987319
3059,330.46062538814465
3126,330.73410377391053
3193,330.7729924399949
3259,330.46264995929766
3326,330.4709603845903
3392,330.69511957246374
3459,330.6304528051707
3526,330.65017882717433
3593,330.54861047154446
3659,330.8046766455767
3726,330.3542283317832
3793,330.6053177693154
3859,330.45893312485276
3926,330.3900932372668
3993,330.64234283345036
4059,330.5390504249717
4126,330.3919186288686
4193,330.51833371758545
4259,330.74849554118344
4326,330.75356832417293
4393,330.4233810693951
4459,330.3938432856681
4526,330.65846096785907
4593,330.7180716140023
4659,330.454224020686
4726,330.62327032670083
4793,330.6418777754856
4859,330.7051039438072
4926,330.55539771620676
4993,330.7513331474154
5059,330.971916314126
5126,330.7509144369817
5193,330.7427954466258
5259,330.69058892598247
5326,330.565660060918
5393,330.648995124787
5459,330.4455690362739
5525,330.7691472498356
5593,330.83151910425784
5659,330.98235331036204
5726,331.0688674675928
5793,330.9017237869636
