relative_time,MagneticRotationSensor
0,334.35713304516827
12,334.493182189685
79,334.6436675152864
148,334.59992055672296
213,334.80076167309835
279,334.767838616599
348,334.5755732996773
414,334.5497135952818
479,334.5446707934149
549,334.7672147857005
613,334.5768609479348
679,334.50732331138363
747,334.68308261560156
815,334.40655340399604
879,334.74398574630857
948,334.8023405884713
1013,334.56934009665844
1079,334.57043877290016
1150,334.49596644655213
1214,334.5707339009705
1279,334.5028976737648
1348,334.6740218782313
1413,334.6160445790889
1479,334.6483782771272
1548,334.5180065096794
1616,334.5374616954338
1679,334.73109195587335
1748,334.6070227430379
1814,334.4435376617055
1879,334.5895239469006
1948,334.7187031301422
2013,334.79355532761605
2079,334.44693122176676
2148,334.43274024791003
2213,334.71316329389657
2279,334.702092199825
2348,334.65815574690106
2414,334.5819197700663
2479,334.5918760941013
2548,334.7579855412965
2613,334.40951738314766
2679,334.4572748570653
2748,334.6632164075489
2814,334.6405524774777
2879,334.5182074035337
2948,334.68645399330154
3013,334.8299246076185
3079,334.5392768309391
3148,334.57508679668837
3213,334.6443430974485
3279,334.67884639111463
3348,334.48872260842194
3413,334.4933768404701
3478,334.39048419558776
3550,334.5083681726231
3613,334.53537873388706
3679,334.6468007569718
3750,334.36337151153623
3814,334.6775891777554
3879,334.5319801734391
3949,334.55169077640284
4012,334.736958773938
4078,334.7006455032812
4149,334.4107545322728
4213,334.6252000948834
4279,334.36651389881536
4348,334.7646502093899
4416,334.56054395848116
4479,334.71841889611795
4548,334.14909999450595
4615,334.5135901712986
4678,334.50862866071117
4748,334.41548745516184
4814,334.6748677346829
4879,334.8470152987891
4948,334.2238907243709
5012,334.3107761903839
5079,334.5420305013167
5148,334.390510636634
5212,334.4544680405633
5279,334.3994911335424
5348,334.4896903624354
5413,334.5313359006346
5479,334.4832246274769
5548,334.5026364138723
