relative_time,MagneticRotationSensor
0,2796.947410896889
36,2797.374244014073
102,2796.4697255975107
168,2796.6615081487193
236,2797.1502316007077
302,2797.185803120542
368,2797.377863864641
436,2797.1966965471365
502,2796.4658922807466
568,2797.541230299807
636,2796.934650581752
702,2797.2186918066027
768,2797.298906271222
836,2796.9826797320184
903,2797.337641733686
968,2796.6525538224855
1036,2796.8810614539702
1102,2797.5534493657415
1168,2797.101405501489
1236,2797.2242077516707
1302,2797.3269584849477
1368,2796.5642775030165
1436,2797.4977031999583
1503,2797.0116109676665
1568,2796.848838369552
1636,2797.28877417165
1703,2796.9177878682453
1768,2796.741849405941
1836,2797.073860726339
1902,2796.491378655026
1968,2797.2276341182023
2036,2797.32007653532
2103,2797.1974696139087
2168,2797.159975046201
2236,2796.4840014361607
2302,2796.9581410223595
2368,2796.904046139043
2436,2796.4970995259987
2502,2796.8166797600497
2568,2796.7997111833815
2636,2796.7807929599185
2702,2797.2917307318294
2768,2797.1654452337866
2836,2797.067361198131
2902,2797.1047543620075
2968,2797.1370849956675
3036,2796.792735182005
3102,2796.853463858519
3168,2796.7430091937663
3236,2796.7442526760724
3302,2796.6892249342536
3368,2796.907925058921
3436,2797.185260591297
3502,2796.9628244264427
3568,2796.941134815935
3636,2797.1731342103008
3702,2796.636572347965
3768,2796.5521716382646
3836,2796.7524693194896
3902,2796.5050999157565
3968,2796.740841576296
4036,2796.5190072351643
4102,2796.9573183531184
4168,2797.166826151348
4235,2797.095880878852
4302,2796.6749510254676
4368,2796.613396555886
4436,2796.779415014838
4503,2796.7039475034358
4568,2796.705768092111
4636,2797.1239986762857
4702,2796.6419577007
4768,2796.9504206645906
4836,2797.0499698745016
4903,2797.1070369058248
4984,2797.2133271705334
5036,2797.045135966112
5103,2797.3155471201217
5168,2796.6161870930987
5236,2796.6150141357393
5302,2797.0942764091296
5368,2796.697635306421
5436,2796.332175384166
5502,2797.0283254074548
