relative_time,MagneticRotationSensor
0,337.5154574230645
62,337.6308953413859
129,337.5282831187781
196,337.34942273155264
261,337.5838601718696
329,337.58363663750475
397,337.44906987373196
461,337.3816441395834
529,337.33421006603373
597,337.68059633405
662,337.4196133305225
728,337.49075599194117
797,337.61468397567836
862,337.3301979391819
929,337.6829597648086
997,337.5771484118055
1062,337.6056787151518
1129,337.7535520868481
1197,337.69664994282914
1261,337.51705918751014
1329,337.5074185617997
1397,337.47572077526416
1462,337.30831076937886
1529,337.5530301874061
1597,337.6427638424043
1662,337.33737736563177
1728,337.55474135438385
1801,337.4497171267512
1862,337.6559658837886
1929,337.4170711297837
1997,337.4498005561777
2062,337.6252286017401
2129,337.28010331853534
2197,337.1938057901254
2261,337.0927580121264
2329,337.42519868489535
2397,337.30094658317984
2462,337.2746334032994
2529,337.4376153018426
2597,337.3591502828475
2661,337.42104737433186
2729,337.46806808571085
2797,337.4012945397583
2862,337.26834558766814
2929,337.52168279821296
2997,337.45453942405743
3062,337.3447445009976
3129,337.45642897006616
3197,337.33602820402444
3262,337.40138089337574
3329,337.6417147680691
3397,337.4960851752551
3462,337.31769403214287
3529,337.5495254196896
3597,337.59181452443704
3662,337.5268664575456
3729,337.5714605674336
3797,337.63157991338556
3862,337.3792709835784
3929,337.5794089647911
3997,337.49698957299404
4062,337.5431455023127
4129,337.6311733274838
4197,337.29730881511114
4262,337.49588453636574
4329,337.46352637278795
4398,337.52841454961435
4462,337.1064550376934
4529,337.3640061635666
4597,337.4882681188396
4661,337.5556552866725
4729,337.4089385618019
4797,337.42523510795627
4862,337.35009339107853
4929,337.5539729051324
4997,337.51146222180284
5062,337.5467971751647
5128,337.5717954610623
5201,337.3892801793037
5262,337.3188767786253
5329,337.54976009608987
5397,337.6263010522811
5462,337.819857674597
5529,337.6218822713416
5596,337.70362756141384
5662,337.3021694207715
5729,337.47597833807407
5797,337.4257018572117
5862,337.4541136162403
5929,337.67278980181237
5997,337.43917404068304
6061,337.69826103986554
6129,337.63993722102623
6199,337.8414822881393
6263,337.46137828258196
6329,337.361176143761
