relative_time,MagneticRotationSensor
0,337.54202533819694
39,337.734050535883
105,337.61764102649596
172,337.76526525417745
242,337.5885216781243
312,337.8050886251415
372,337.5693013009243
441,337.9824344296857
504,337.58845034034147
572,337.86207817412725
641,337.5629616928956
704,337.5435224677883
772,337.4086374341211
841,337.53005776295703
904,337.588682575942
972,337.54239275617994
1041,337.68439642115277
1105,337.7937712800344
1172,337.51643139623224
1241,337.7785217209181
1305,337.8160160768468
1372,337.5937296658387
1441,337.54119856519264
1505,337.4164931988778
1572,337.6365549131488
1641,337.8108077369242
1704,337.5069374327327
1772,337.55629574731086
1839,337.6629988101952
1905,337.43348726977706
1972,337.68691360587394
2043,337.6848928658188
2104,337.42558492685384
2172,337.3612013282202
2243,337.519333750614
2305,337.6338344151275
2372,337.8202457855463
2443,337.6654504032305
2505,337.57314456967015
2572,337.3811210241284
2643,337.6854541641953
2704,337.7153515447547
2772,337.35264767599944
2843,337.9216919711558
2905,337.44100372698284
2972,337.41202794022007
3040,337.40080682850567
3104,337.71240034547736
3172,337.5923662020921
3240,337.536327266151
3305,337.8479097358503
3372,337.7976324880297
3440,337.61190395322234
3505,337.7328040198561
3572,337.74313030778836
3640,337.59280612629567
3705,337.7915431030876
3772,337.4591740757017
3840,337.6191625086753
3905,337.4883055305528
3972,337.62072385715743
4040,337.84462864298683
4105,337.70013965655886
4172,337.6699360087632
4238,337.75453642608886
4304,337.67724248504004
4372,337.6556984450706
4440,337.5993962482309
4505,337.62293096408285
4572,337.8478886560797
4640,337.8914396787322
4704,337.7357197170934
4771,337.8776266500071
4840,337.57219051114015
4904,337.71762250473483
4988,337.6320444868157
5038,337.6200456007505
5104,337.9224150941123
5171,337.7893457259512
5240,337.7950182203299
5304,337.75199384911616
5371,337.6039576590794
5440,337.59429199968895
5504,337.30123968999135
5571,337.53203324381116
5640,337.4771289299195
