relative_time,MagneticRotationSensor
0,2795.978661746738
44,2796.120372251825
97,2796.044660213665
165,2796.3419498182066
231,2796.364972153522
303,2796.182775048345
365,2796.0835639560587
431,2796.101248601947
499,2795.6864933439665
564,2796.3749139573147
631,2796.2542145090456
699,2796.1945924645074
765,2796.1058159949107
832,2796.707929624642
899,2796.184693673323
964,2796.2188494160046
1032,2796.214411951485
1099,2796.6192227155234
1165,2796.2223583396826
1232,2796.2475522482832
1299,2796.175850043323
1365,2796.235627895714
1432,2796.547833734076
1499,2796.189408349858
1565,2796.1547643364725
1632,2796.865173190767
1699,2796.6286847772703
1765,2795.9999357242737
1831,2795.9604344392355
1897,2796.313981397681
1965,2796.0130520017865
2031,2796.1218904260345
2099,2796.5705554712063
2165,2796.3640573046555
2232,2796.1782162732043
2297,2796.032085597634
2365,2796.0162828867806
2431,2796.2122707610715
2497,2796.3207371432495
2565,2796.2535670011407
2631,2795.9243039640064
2699,2796.546069687557
2765,2796.3627067836837
2831,2795.958410625931
2899,2795.941468699064
2964,2796.0364889761545
3031,2796.349638280233
3097,2795.9078383608216
3165,2795.8962407955005
3232,2796.114171282514
3297,2796.295838385219
3365,2796.4915047926893
3431,2796.000226565989
3497,2796.4855908529094
3564,2796.5071100817504
3631,2795.9228454883682
3698,2796.0640898376287
3765,2796.0777033308727
3831,2796.11401422099
3899,2796.1346704628963
3964,2796.046399280567
4031,2795.931469509129
4099,2795.8724204756954
4165,2796.0522052523156
4231,2795.9803140494846
4299,2796.103193630332
4365,2796.096828165356
4431,2796.4642940026292
4499,2796.2316733699736
4565,2796.1329231183986
4631,2796.629376714246
4697,2796.009199608806
4765,2796.36879857628
4831,2796.3130956267687
4899,2796.070921330498
4983,2795.958028988747
5032,2795.492167060102
5097,2795.906768607289
5165,2796.2468251345013
5231,2795.7305259261493
5299,2795.887264507959
5365,2795.614372654109
5431,2796.094176941794
